timestamp,open,high,low,close,volume
1710302400000,517.11,517.29,514.49,515.97,55104088.0
1710388800000,516.97,517.125,511.82,514.95,110171820.0
1710475200000,510.21,511.7,508.122,509.83,107646297.0
1710734400000,514.0,515.48,512.44,512.86,88893331.0
1710820800000,512.15,515.995,511.12,515.71,60755263.0
1710907200000,515.77,520.62,515.08,520.48,69594574.0
1710993600000,523.39,524.11,521.91,522.2,60256112.0
1711080000000,522.11,522.605,520.97,521.21,79070842.0
1711339200000,519.8,520.95,519.61,519.77,48512108.0
1711425600000,521.23,521.58,518.4,518.81,65463744.0
1711512000000,521.71,523.21,519.485,523.17,82999777.0
1711598400000,523.21,524.61,522.78,523.07,96294886.0
1711944000000,523.83,524.38,520.97,522.16,62477540.0
1712030400000,518.24,518.98,516.48,518.84,74230308.0
1712116800000,517.72,520.95,517.665,519.41,59155759.0
1712203200000,523.52,523.8674,512.755,513.07,96858074.0
1712289600000,514.46,520.44,514.01,518.43,74546483.0
1712548800000,519.15,520.18,517.89,518.72,48401752.0
1712635200000,520.5,520.75,514.35,519.32,68124385.0
1712721600000,513.48,516.16,512.09,514.12,82652806.0
1712808000000,515.68,519.48,512.08,518.0,70099007.0
1712894400000,514.37,515.815,509.08,510.85,92561094.0
1713153600000,515.13,515.3,503.58,504.45,92101447.0
1713240000000,504.94,506.5,502.21,503.53,73484020.0
1713326400000,506.05,506.22,499.12,500.55,75910305.0
1713412800000,501.98,504.13,498.56,499.52,74548085.0
1713499200000,499.44,500.455,493.86,495.16,102212587.0
1713758400000,497.83,502.38,495.43,499.72,67961048.0
1713844800000,501.78,506.09,499.5328,505.65,64633620.0
1713931200000,506.56,507.37,503.13,505.41,55928076.0
1714017600000,499.18,504.27,497.49,503.49,69122368.0
1714104000000,506.35,509.88,505.7,508.26,64306118.0
1714363200000,510.09,510.75,507.25,510.06,46415449.0
1714449600000,508.56,509.56,501.98,501.98,77483566.0
1714536000000,501.38,508.19,499.865,500.35,80242839.0
1714622400000,504.15,505.89,499.55,505.03,62550179.0
1714708800000,511.16,512.55,508.56,511.29,72756709.0
1714968000000,513.75,516.61,513.3,516.57,47264703.0
1715054400000,517.56,518.57,516.45,517.14,52561299.0
1715140800000,515.26,517.74,515.14,517.19,42047214.0
1715227200000,517.38,520.2074,516.705,520.17,43643668.0
1715313600000,521.81,522.635,519.59,520.84,52233171.0
1715572800000,522.56,522.67,519.74,520.91,36716361.0
1715659200000,521.11,523.83,520.56,523.3,57535867.0
1715745600000,525.83,530.08,525.18,529.78,59504897.0
1715832000000,529.88,531.5218,528.54,528.69,50244827.0
1715918400000,528.81,529.52,527.32,529.45,59187585.0
1716177600000,529.57,531.5601,529.17,530.06,37764206.0
1716264000000,529.28,531.52,529.07,531.36,33437001.0
1716350400000,530.65,531.38,527.6,529.83,48389968.0
1716436800000,532.96,533.07,524.72,525.96,57211197.0
1716523200000,527.85,530.27,526.881,529.44,41291076.0
1716868800000,530.27,530.51,527.11,529.81,36269602.0
1716955200000,525.68,527.31,525.37,526.1,45190323.0
1717041600000,524.52,525.2,521.33,522.61,46468510.0
1717128000000,523.59,527.5,518.36,527.37,90785755.0
1717387200000,529.02,529.31,522.6,527.8,46835702.0
1717473600000,526.46,529.15,524.96,528.39,34632661.0
1717560000000,530.77,534.69,528.7254,534.67,47610365.0
1717646400000,534.98,535.42,532.68,534.66,30808530.0
1717732800000,533.66,536.89,532.535,534.01,43224525.0
1717992000000,533.18,535.99,532.57,535.66,35729252.0
1718078400000,534.07,537.01,532.05,536.95,36383411.0
1718164800000,541.63,544.12,540.3,541.36,63251305.0
1718251200000,543.15,543.325,539.59,542.45,44760949.0
1718337600000,540.88,542.81,539.85,542.78,40089895.0
1718596800000,542.08,548.53,541.6072,547.1,55839457.0
1718683200000,547.16,548.62,546.73,548.49,41376417.0
1718856000000,549.44,550.12,545.18,547.0,70328226.0
1718942400000,544.4,545.65,543.02,544.51,64513859.0
1719201600000,544.33,546.95,542.62,542.74,45528654.0
1719288000000,543.99,545.2,542.44,544.83,38273346.0
1719374400000,543.69,546.24,543.03,545.51,38550637.0
1719460800000,545.37,546.96,544.61,546.37,35041480.0
1719547200000,547.16,550.28,542.95,544.22,76144535.0
1719806400000,545.63,545.88,542.52,545.34,40297810.0
1719892800000,543.7,549.01,543.65,549.01,40434792.0
1719979200000,548.69,551.83,548.65,551.46,32789911.0
1720152000000,551.77,555.05,551.12,554.64,41488389.0
1720411200000,555.44,556.2501,554.19,555.28,36110451.0
1720497600000,556.26,557.18,555.52,555.82,27314125.0
1720584000000,557.07,561.67,556.77,561.32,38701220.0
1720670400000,561.44,562.33,555.83,556.48,53054184.0
1720756800000,557.63,563.67,557.15,559.99,53084405.0
1721016000000,562.03,564.8371,559.63,561.53,40584293.0
1721102400000,562.865,565.16,562.1,564.86,36475260.0
1721188800000,558.8,560.51,556.61,556.94,57118956.0
1721275200000,558.51,559.52,550.43,552.66,56270392.0
1721361600000,552.42,554.08,547.91,548.99,65509081.0
1721620800000,553.0,555.27,551.02,554.65,43346720.0
1721707200000,554.54,556.735,553.275,553.78,34439561.0
1721793600000,548.86,549.17,540.29,541.23,74515266.0
1721880000000,541.35,547.455,537.45,538.41,61158288.0
1721966400000,542.28,547.19,541.49,544.44,53763788.0
1722225600000,546.02,547.05,542.72,544.76,39515824.0
1722312000000,546.26,547.34,538.515,542.0,46853632.0
1722398400000,548.98,553.5,547.5799,550.81,65663388.0
1722484800000,552.57,554.8688,539.43,543.01,76428732.0
1722571200000,535.75,536.99,528.6,532.9,82789070.0
1722830400000,511.64,523.58,510.27,517.38,146267391.0
1722916800000,519.22,529.75,517.87,522.15,84826312.0
1723003200000,528.47,531.59,518.0519,518.66,70698340.0
1723089600000,523.91,531.29,521.84,530.65,63276589.0
1723176000000,529.81,534.51,528.56,532.99,45619558.0
1723435200000,534.21,535.73,530.95,533.27,42542069.0
1723521600000,536.53,542.28,536.28,542.04,52333073.0
1723608000000,542.85,544.96,540.12,543.75,42446929.0
1723694400000,549.5,553.36,548.88,553.07,60846812.0
1723780800000,551.42,555.02,551.26,554.31,44430728.0
1724040000000,554.73,559.61,553.86,559.61,39121793.0
1724126400000,559.15,560.84,557.325,558.7,33732264.0
1724212800000,559.77,562.11,554.73,560.62,41514600.0
1724299200000,562.56,563.18,554.98,556.22,56121456.0
1724385600000,559.53,563.09,557.29,562.13,50639393.0
1724644800000,563.18,563.91,559.05,560.79,35788609.0
1724731200000,559.49,562.06,558.32,561.56,32693898.0
1724817600000,561.21,561.65,555.04,558.3,41066024.0
1724904000000,560.31,563.68,557.18,558.35,38715176.0
1724990400000,560.77,564.2,557.14,563.68,62700110.0
1725336000000,560.47,560.81,549.51,552.08,60600113.0
1725422400000,550.2,554.43,549.46,550.95,47224939.0
1725508800000,550.89,553.7995,547.1,549.61,44264258.0
1725595200000,549.94,551.6,539.44,540.36,68493805.0
1725854400000,544.65,547.71,542.68,546.41,40445822.0
1725940800000,548.36,549.15,543.38,548.79,36394579.0
1726027200000,548.7,555.36,539.96,554.42,75248608.0
1726113600000,555.01,559.4,552.74,559.09,51892735.0
1726200000000,559.71,563.03,559.45,562.01,39310501.0
1726459200000,561.74,563.11,559.9,562.84,36656122.0
1726545600000,565.1,566.58,560.795,563.07,49320970.0
1726632000000,563.74,568.69,560.83,561.4,59044937.0
1726718400000,571.01,572.88,568.08,570.98,75315470.0
1726804800000,567.84,569.31,565.17,568.25,77503110.0
1727064000000,569.34,570.3325,568.1,569.67,44116922.0
1727150400000,570.48,571.36,567.6,571.3,46805672.0
1727236800000,571.14,571.89,568.91,570.04,38428587.0
1727323200000,574.38,574.71,569.9,572.3,48336004.0
1727409600000,573.39,574.22,570.42,571.47,42100928.0
1727668800000,570.42,574.38,568.08,573.76,63655448.0
1727755200000,573.4,574.0622,566.0,568.62,72668778.0
1727841600000,567.71,569.9,565.27,568.86,38097798.0
1727928000000,567.36,569.8025,565.49,567.82,40846466.0
1728014400000,572.35,573.36,568.1,572.98,43005186.0
1728273600000,571.3,571.9599,566.63,567.8,49964690.0
1728360000000,570.42,573.78,569.5299,573.17,37398693.0
1728446400000,573.16,577.71,572.55,577.14,37912244.0
1728532800000,575.77,577.58,574.49,576.13,44138060.0
1728619200000,576.05,580.33,575.91,579.58,42267994.0
1728878400000,581.22,585.27,580.73,584.32,36217215.0
1728964800000,584.59,584.9,578.545,579.78,54203636.0
1729051200000,579.78,582.83,578.96,582.3,30725436.0
1729137600000,585.91,586.12,582.16,582.35,34393714.0
1729224000000,584.07,585.39,582.58,584.59,37416801.0
1729483200000,583.85,584.85,580.6001,583.63,36439010.0
1729569600000,581.05,584.5,580.38,583.32,34183835.0
1729656000000,581.26,581.7086,574.415,577.99,49314574.0
1729742400000,579.98,580.06,576.57,579.24,34979860.0
1729828800000,581.51,584.46,578.08,579.04,47268176.0
1730088000000,582.58,582.71,580.52,580.83,30174704.0
1730174400000,579.85,582.907,578.43,581.77,42899661.0
1730260800000,581.29,583.32,579.29,580.01,41435839.0
1730347200000,575.56,575.63,568.44,568.64,60182451.0
1730433600000,571.32,575.55,570.62,571.04,45667533.0
1730696400000,571.18,572.5,567.89,569.81,38216975.0
1730782800000,570.74,576.74,570.52,576.7,39478322.0
1730869200000,589.2,591.93,585.39,591.04,68181968.0
1730955600000,593.08,596.65,592.9999,595.61,47233212.0
1731042000000,596.17,599.64,596.165,598.19,46444893.0
1731301200000,599.81,600.17,597.0,598.76,37586773.0
1731387600000,598.68,599.29,594.37,596.9,43006128.0
1731474000000,597.37,599.23,594.96,597.19,47388640.0
1731560400000,597.32,597.81,592.65,593.35,38904109.0
1731646800000,589.72,590.2,583.86,585.75,75988766.0
1731906000000,586.22,589.49,585.34,588.15,37084081.0
1731992400000,584.71,591.045,584.03,590.3,49412046.0
1732078800000,590.38,590.79,584.63,590.5,50032576.0
1732165200000,593.4,595.12,587.45,593.67,46750285.0
1732251600000,593.66,596.15,593.1525,595.51,38226390.0
1732510800000,599.52,600.86,595.2,597.53,42441393.0
1732597200000,598.8,601.33,598.07,600.65,45621288.0
1732683600000,600.46,600.85,597.28,598.83,34000163.0
1732856400000,599.66,603.35,599.3805,602.55,30177351.0
1733115600000,602.97,604.32,602.47,603.63,31745989.0
1733202000000,603.39,604.16,602.341,603.91,26906629.0
1733288400000,605.63,607.91,604.95,607.66,42787561.0
1733374800000,607.66,608.48,606.305,606.66,28762183.0
1733461200000,607.44,609.07,607.02,607.81,31241549.0
1733720400000,607.69,607.86,604.08,604.68,34742738.0
1733806800000,605.37,605.8,602.13,602.8,37234515.0
1733893200000,605.78,608.435,605.5,607.46,28677723.0
1733979600000,606.58,607.16,604.33,604.33,31543812.0
1734066000000,606.4,607.13,602.81,604.21,35904730.0
1734325200000,606.0,607.7795,605.21,606.79,43695179.0
1734411600000,604.19,605.17,602.885,604.29,55773545.0
1734498000000,603.98,606.405,585.89,586.28,108248729.0
1734584400000,591.36,593.0,585.85,586.1,85919452.0
1734670800000,581.77,595.75,580.91,591.15,125716674.0
1734930000000,590.89,595.3,587.661,594.69,57635828.0
1735016400000,596.06,601.34,595.47,601.3,33160097.0
1735189200000,599.5,602.48,598.0825,601.34,41338891.0
1735275600000,597.54,597.7761,590.7647,595.01,64969310.0
1735534800000,587.89,591.74,584.41,588.22,56578757.0
1735621200000,589.905,590.6399,584.42,586.08,57052654.0
1735794000000,589.39,591.13,580.5,584.64,50203975.0
1735880400000,587.53,592.6,586.43,591.95,37888459.0
1736139600000,596.27,599.7,593.6,595.36,47679442.0
1736226000000,597.42,597.75,586.78,588.63,60393052.0
1736312400000,588.7,590.5799,585.195,589.49,47304672.0
1736485200000,585.88,585.95,578.55,580.49,73105046.0
1736744400000,575.77,581.75,575.35,581.39,47910060.0
1736830800000,584.36,585.0,578.35,582.19,48420580.0
1736917200000,590.325,593.94,589.195,592.78,56900159.0
1737003600000,594.175,594.35,590.93,591.64,43319662.0
1737090000000,596.96,599.36,595.61,597.58,58070628.0
1737435600000,600.67,603.06,598.67,603.05,42532853.0
1737522000000,605.92,607.82,605.36,606.44,48195973.0
1737608400000,605.8,609.75,605.52,609.75,41152102.0
1737694800000,609.81,610.78,606.8,607.97,34604693.0
